"","microsite_condition","surface_depth","tray_num","seedling_count","species_count"
"1","dung","0-5",20,69,15
"2","dung","surface",20,145,20
"3","biocrust","surface",17,73,12
"4","control","0-5",13,30,11
"5","biocrust","0-5",10,19,11
"6","dung","5-10",10,14,9
"7","control","5-10",7,16,7
"8","biocrust","5-10",5,6,5
"9","double_control","double_control",3,3,3
